"State","PercentInPoverty2016"
Alabama,17.1
Alaska,9.9
Arizona,16.4
Arkansas,17.2
California,14.3
Colorado,11
Connecticut,9.8
Delaware,11.7
District of Columbia,18.6
Florida,14.7
Georgia,16
Hawaii,9.3
Idaho,14.4
Illinois,13
Indiana,14.1
Iowa,11.8
Kansas,12.1
Kentucky,18.5
Louisiana,20.2
Maine,12.5
Maryland,9.7
Massachusetts,10.4
Michigan,15
Minnesota,9.9
Mississippi,20.8
Missouri,14.0
Montana,13.3
Nebraska,11.4
Nevada,13.8
New Hampshire,7.3
New Jersey,10.4
New Mexico,19.8
New York,14.7
North Carolina,15.4
North Dakota,10.7
Ohio,14.6
Oklahoma,16.3
Oregon,13.3
Pennsylvania,12.9
Rhode Island,12.8
South Carolina,15.3
South Dakota,13.3
Tennessee,15.8
Texas,15.6
Utah,10.2
Vermont,11.9
Virginia,11.0
Washington,10.4
West Virginia,17.9
Wisconsin,11.3
Wyoming,11.3
